id,name,state_id/id,country_id/id
city_ch_Schnottwil,Schnottwil,__import__.country_state_15,base.ch
city_ch_Messen,Messen,__import__.country_state_15,base.ch
city_ch_Balm_b._Messen,Balm b. Messen,__import__.country_state_15,base.ch
city_ch_Brunnenthal,Brunnenthal,__import__.country_state_15,base.ch
city_ch_Basel,Basel,__import__.country_state_5,base.ch
city_ch_Bruderholz,Bruderholz,__import__.country_state_4,base.ch
city_ch_Binningen,Binningen,__import__.country_state_4,base.ch
city_ch_Bottmingen,Bottmingen,__import__.country_state_4,base.ch
city_ch_Oberwil_BL,Oberwil BL,__import__.country_state_4,base.ch
city_ch_Biel_Benken_BL,Biel-Benken BL,__import__.country_state_4,base.ch
city_ch_Therwil,Therwil,__import__.country_state_4,base.ch
city_ch_Ettingen,Ettingen,__import__.country_state_4,base.ch
city_ch_Witterswil,Witterswil,__import__.country_state_15,base.ch
city_ch_Bättwil,Bättwil,__import__.country_state_15,base.ch
city_ch_Flüh,Flüh,__import__.country_state_15,base.ch
city_ch_Hofstetten_SO,Hofstetten SO,__import__.country_state_15,base.ch
city_ch_Mariastein,Mariastein,__import__.country_state_15,base.ch
city_ch_Metzerlen,Metzerlen,__import__.country_state_15,base.ch
city_ch_Burg_im_Leimental,Burg im Leimental,__import__.country_state_4,base.ch
city_ch_Rodersdorf,Rodersdorf,__import__.country_state_15,base.ch
city_ch_Allschwil,Allschwil,__import__.country_state_4,base.ch
city_ch_Schönenbuch,Schönenbuch,__import__.country_state_4,base.ch
city_ch_Riehen,Riehen,__import__.country_state_5,base.ch
city_ch_Bettingen,Bettingen,__import__.country_state_5,base.ch
city_ch_Birsfelden,Birsfelden,__import__.country_state_4,base.ch
city_ch_Muttenz,Muttenz,__import__.country_state_4,base.ch
city_ch_Pratteln,Pratteln,__import__.country_state_4,base.ch
city_ch_Münchenstein,Münchenstein,__import__.country_state_4,base.ch
city_ch_Dornach,Dornach,__import__.country_state_15,base.ch
city_ch_Arlesheim,Arlesheim,__import__.country_state_4,base.ch
city_ch_Gempen,Gempen,__import__.country_state_15,base.ch
city_ch_Hochwald,Hochwald,__import__.country_state_15,base.ch
city_ch_Aesch_BL,Aesch BL,__import__.country_state_4,base.ch
city_ch_Pfeffingen,Pfeffingen,__import__.country_state_4,base.ch
city_ch_Reinach_BL,Reinach BL,__import__.country_state_4,base.ch
city_ch_Duggingen,Duggingen,__import__.country_state_4,base.ch
city_ch_Grellingen,Grellingen,__import__.country_state_4,base.ch
city_ch_Himmelried,Himmelried,__import__.country_state_15,base.ch
city_ch_Seewen_SO,Seewen SO,__import__.country_state_15,base.ch
city_ch_Bretzwil,Bretzwil,__import__.country_state_4,base.ch
city_ch_Nunningen,Nunningen,__import__.country_state_15,base.ch
city_ch_Zwingen,Zwingen,__import__.country_state_4,base.ch
city_ch_Blauen,Blauen,__import__.country_state_4,base.ch
city_ch_Nenzlingen,Nenzlingen,__import__.country_state_4,base.ch
city_ch_Brislach,Brislach,__import__.country_state_4,base.ch
