id,commune_name,name,additional_digit,city_id/id,latitude,longitude,lang_id/id,communitynumber_bfs
zipcode_6388_Grafenort,Engelberg,6388,0,city_ch_Grafenort,46.8705073418544,8.372401249810476,base.lang_de_CH,1402
zipcode_6390_Engelberg,Engelberg,6390,0,city_ch_Engelberg,46.816209872767125,8.403713848897539,base.lang_de_CH,1402
zipcode_6402_Merlischachen,Küssnacht (SZ),6402,0,city_ch_Merlischachen,47.066377956430586,8.408048462322515,base.lang_de_CH,1331
zipcode_6403_Küssnacht_am_Rigi,Küssnacht (SZ),6403,0,city_ch_Küssnacht_am_Rigi,47.08039502353354,8.440080606716098,base.lang_de_CH,1331
zipcode_6404_Greppen,Greppen,6404,0,city_ch_Greppen,47.05550728696109,8.430056872868333,base.lang_de_CH,1056
zipcode_6405_Immensee,Küssnacht (SZ),6405,0,city_ch_Immensee,47.095696328233316,8.461457014344154,base.lang_de_CH,1331
zipcode_6410_Goldau,Arth,6410,0,city_ch_Goldau,47.046612301829846,8.54489804229782,base.lang_de_CH,1362
zipcode_6410_Rigi_Klösterli,Arth,6410,2,city_ch_Rigi_Klösterli,47.04350953759223,8.485725007407838,base.lang_de_CH,1362
zipcode_6410_Rigi_Staffel,Arth,6410,3,city_ch_Rigi_Staffel,47.05369250579868,8.475288414502137,base.lang_de_CH,1362
zipcode_6410_Rigi_Kulm,Arth,6410,4,city_ch_Rigi_Kulm,47.05518012643456,8.4828822243589,base.lang_de_CH,1362
zipcode_6410_Rigi_Scheidegg,Gersau,6410,5,city_ch_Rigi_Scheidegg,47.027283658518584,8.52097041321704,base.lang_de_CH,1311
zipcode_6414_Oberarth,Arth,6414,0,city_ch_Oberarth,47.05608939427683,8.533625449923258,base.lang_de_CH,1362
zipcode_6415_Arth,Arth,6415,0,city_ch_Arth,47.06359211187134,8.52313917025415,base.lang_de_CH,1362
zipcode_6416_Steinerberg,Steinerberg,6416,0,city_ch_Steinerberg,47.05208230635589,8.585308074953968,base.lang_de_CH,1374
zipcode_6417_Sattel,Sattel,6417,0,city_ch_Sattel,47.083746414808125,8.637750660769395,base.lang_de_CH,1371
zipcode_6418_Rothenthurm,Rothenthurm,6418,0,city_ch_Rothenthurm,47.10507040063632,8.67513800852901,base.lang_de_CH,1370
zipcode_6422_Steinen,Steinen,6422,0,city_ch_Steinen,47.05007761808494,8.61317898513281,base.lang_de_CH,1373
zipcode_6423_Seewen_SZ,Schwyz,6423,0,city_ch_Seewen_SZ,47.02976149443008,8.63089404741689,base.lang_de_CH,1372
zipcode_6424_Lauerz,Lauerz,6424,0,city_ch_Lauerz,47.03540115075,8.580071323579766,base.lang_de_CH,1365
zipcode_6430_Schwyz,Schwyz,6430,0,city_ch_Schwyz,47.02135764425363,8.653676072823743,base.lang_de_CH,1372
zipcode_6432_Rickenbach_b._Schwyz,Schwyz,6432,0,city_ch_Rickenbach_b._Schwyz,47.0164033742265,8.665841138088787,base.lang_de_CH,1372
zipcode_6433_Stoos_SZ,Morschach,6433,0,city_ch_Stoos_SZ,46.98045441910602,8.664557162698015,base.lang_de_CH,1366
zipcode_6434_Illgau,Illgau,6434,0,city_ch_Illgau,46.987618046302394,8.723323422892836,base.lang_de_CH,1363
zipcode_6436_Muotathal,Muotathal,6436,0,city_ch_Muotathal,46.97753988559065,8.759935806286776,base.lang_de_CH,1367
zipcode_6436_Bisisthal,Muotathal,6436,2,city_ch_Bisisthal,46.94392880391271,8.831433707658608,base.lang_de_CH,1367
zipcode_6436_Ried_(Muotathal),Muotathal,6436,3,city_ch_Ried_(Muotathal),46.986373745475916,8.713907552308894,base.lang_de_CH,1367
zipcode_6438_Ibach,Schwyz,6438,0,city_ch_Ibach,47.012853553932736,8.644887031248775,base.lang_de_CH,1372
zipcode_6440_Brunnen,Ingenbohl,6440,0,city_ch_Brunnen,46.99440378038075,8.605264100865304,base.lang_de_CH,1364
zipcode_6441_Rütli,Seelisberg,6441,2,city_ch_Rütli,46.96866831525633,8.59285587396208,base.lang_de_CH,1215
zipcode_6442_Gersau,Gersau,6442,0,city_ch_Gersau,46.992832726398994,8.527020853408178,base.lang_de_CH,1311
zipcode_6443_Morschach,Morschach,6443,0,city_ch_Morschach,46.9816329239711,8.620376225645973,base.lang_de_CH,1366
zipcode_6452_Sisikon,Sisikon,6452,0,city_ch_Sisikon,46.94807566098254,8.623585067069046,base.lang_de_CH,1217
zipcode_6452_Riemenstalden,Riemenstalden,6452,2,city_ch_Riemenstalden,46.94699172307376,8.666355942439083,base.lang_de_CH,1369
zipcode_6454_Flüelen,Flüelen,6454,0,city_ch_Flüelen,46.90537642213223,8.628644801749704,base.lang_de_CH,1207
zipcode_6460_Altdorf_UR,Altdorf (UR),6460,0,city_ch_Altdorf_UR,46.883324772887676,8.642259004032088,base.lang_de_CH,1201
zipcode_6461_Isenthal,Isenthal,6461,0,city_ch_Isenthal,46.91181366332064,8.560996795616388,base.lang_de_CH,1211
zipcode_6462_Seedorf_UR,Seedorf (UR),6462,0,city_ch_Seedorf_UR,46.88403311307999,8.610606694021925,base.lang_de_CH,1214
zipcode_6463_Bürglen_UR,Bürglen (UR),6463,0,city_ch_Bürglen_UR,46.87520848211418,8.662451959167868,base.lang_de_CH,1205
zipcode_6464_Spiringen,Spiringen,6464,0,city_ch_Spiringen,46.87101287922513,8.728407767145441,base.lang_de_CH,1218
zipcode_6465_Unterschächen,Unterschächen,6465,0,city_ch_Unterschächen,46.861211946063236,8.76841641836738,base.lang_de_CH,1219
zipcode_6466_Bauen,Seedorf (UR),6466,0,city_ch_Bauen,46.935142777483705,8.57765641075076,base.lang_de_CH,1214
zipcode_6467_Schattdorf,Schattdorf,6467,0,city_ch_Schattdorf,46.86406547580471,8.658895591197854,base.lang_de_CH,1213
zipcode_6468_Attinghausen,Attinghausen,6468,0,city_ch_Attinghausen,46.864970795279675,8.623979831132061,base.lang_de_CH,1203
zipcode_6469_Haldi_b._Schattdorf,Schattdorf,6469,0,city_ch_Haldi_b._Schattdorf,46.861831943615115,8.67503194717096,base.lang_de_CH,1213
zipcode_6472_Erstfeld,Erstfeld,6472,0,city_ch_Erstfeld,46.82031203982235,8.65037223119659,base.lang_de_CH,1206
zipcode_6473_Silenen,Silenen,6473,0,city_ch_Silenen,46.79186334281251,8.672756323331607,base.lang_de_CH,1216
zipcode_6474_Amsteg,Silenen,6474,0,city_ch_Amsteg,46.770666989365445,8.670717879341607,base.lang_de_CH,1216
zipcode_6475_Bristen,Silenen,6475,0,city_ch_Bristen,46.76938554669943,8.691042614460216,base.lang_de_CH,1216
zipcode_6476_Intschi,Gurtnellen,6476,0,city_ch_Intschi,46.7604616895297,8.64972981574607,base.lang_de_CH,1209
zipcode_6482_Gurtnellen,Gurtnellen,6482,0,city_ch_Gurtnellen,46.73800246076228,8.628466949462402,base.lang_de_CH,1209
zipcode_6484_Wassen_UR,Wassen,6484,0,city_ch_Wassen_UR,46.706363887423436,8.595703646626934,base.lang_de_CH,1220
zipcode_6485_Meien,Wassen,6485,0,city_ch_Meien,46.72570871454017,8.54941343704476,base.lang_de_CH,1220
zipcode_6487_Göschenen,Göschenen,6487,0,city_ch_Göschenen,46.669602733961305,8.583901839878418,base.lang_de_CH,1208
zipcode_6490_Andermatt,Andermatt,6490,0,city_ch_Andermatt,46.631837438063705,8.597370858888015,base.lang_de_CH,1202
zipcode_6491_Realp,Realp,6491,0,city_ch_Realp,46.59874808916048,8.501881527377192,base.lang_de_CH,1212
zipcode_6493_Hospental,Hospental,6493,0,city_ch_Hospental,46.61913512757893,8.572735787019202,base.lang_de_CH,1210
zipcode_6500_Bellinzona,Bellinzona,6500,0,city_ch_Bellinzona,46.19698977791154,9.035526644871934,base.lang_en,5002
zipcode_6503_Bellinzona,Bellinzona,6503,0,city_ch_Bellinzona,46.208597075207415,9.007086991873864,base.lang_en,5002
zipcode_6512_Giubiasco,Bellinzona,6512,0,city_ch_Giubiasco,46.1739379792302,9.003398058251495,base.lang_en,5002
zipcode_6513_Monte_Carasso,Bellinzona,6513,0,city_ch_Monte_Carasso,46.18708949720143,8.997078156166623,base.lang_en,5002
