id,name,state_id/.id,country_id/id
city_ch_Monnaz,Monnaz,1386,base.ch
city_ch_Vaux_sur_Morges,Vaux-sur-Morges,1386,base.ch
city_ch_Clarmont,Clarmont,1386,base.ch
city_ch_Reverolle,Reverolle,1386,base.ch
city_ch_Tolochenaz,Tolochenaz,1386,base.ch
city_ch_Lully_VD,Lully VD,1386,base.ch
city_ch_Vufflens_le_Château,Vufflens-le-Château,1386,base.ch
city_ch_Chigny,Chigny,1386,base.ch
city_ch_Denens,Denens,1386,base.ch
city_ch_Bussy_Chardonney,Bussy-Chardonney,1386,base.ch
city_ch_Severy,Sévery,1386,base.ch
city_ch_Pampigny,Pampigny,1386,base.ch
city_ch_Apples,Apples,1386,base.ch
city_ch_Ballens,Ballens,1386,base.ch
city_ch_Biere,Bière,1386,base.ch
city_ch_Mollens_VD,Mollens VD,1386,base.ch
city_ch_Montricher,Montricher,1386,base.ch
city_ch_L'Isle,L'Isle,1386,base.ch
city_ch_Mauraz,Mauraz,1386,base.ch
city_ch_Villars_Bozon,Villars-Bozon,1386,base.ch
city_ch_Cuarnens,Cuarnens,1386,base.ch
city_ch_Mont_la_Ville,Mont-la-Ville,1386,base.ch
city_ch_La_Praz,La Praz,1386,base.ch
city_ch_Chavannes_le_Veyron,Chavannes-le-Veyron,1386,base.ch
city_ch_Moiry_VD,Moiry VD,1386,base.ch
city_ch_La_Coudre,La Coudre,1386,base.ch
city_ch_Berolle,Berolle,1386,base.ch
city_ch_St_Prex,St-Prex,1386,base.ch
city_ch_Etoy,Etoy,1386,base.ch
city_ch_Buchillon,Buchillon,1386,base.ch
city_ch_Allaman,Allaman,1386,base.ch
city_ch_Perroy,Perroy,1386,base.ch
city_ch_Lussy_sur_Morges,Lussy-sur-Morges,1386,base.ch
city_ch_Villars_sous_Yens,Villars-sous-Yens,1386,base.ch
city_ch_Yens,Yens,1386,base.ch
city_ch_Aubonne,Aubonne,1386,base.ch
city_ch_Bougy_Villars,Bougy-Villars,1386,base.ch
city_ch_Fechy,Féchy,1386,base.ch
city_ch_Montherod,Montherod,1386,base.ch
city_ch_Pizy,Pizy,1386,base.ch
city_ch_Lavigny,Lavigny,1386,base.ch
city_ch_St_Livres,St-Livres,1386,base.ch
city_ch_Rolle,Rolle,1386,base.ch
city_ch_Tartegnin,Tartegnin,1386,base.ch
city_ch_Gilly,Gilly,1386,base.ch
city_ch_Bursins,Bursins,1386,base.ch
city_ch_Luins,Luins,1386,base.ch
city_ch_Vinzel,Vinzel,1386,base.ch
city_ch_Mont_sur_Rolle,Mont-sur-Rolle,1386,base.ch
city_ch_Essertines_sur_Rolle,Essertines-sur-Rolle,1386,base.ch
city_ch_St_Oyens,St-Oyens,1386,base.ch
city_ch_Gimel,Gimel,1386,base.ch
city_ch_St_George,St-George,1386,base.ch
city_ch_Saubraz,Saubraz,1386,base.ch
city_ch_Dully,Dully,1386,base.ch
city_ch_Bursinel,Bursinel,1386,base.ch
city_ch_Gland,Gland,1386,base.ch
city_ch_Prangins,Prangins,1386,base.ch
city_ch_Geneve,Genève,1384,base.ch
city_ch_Grand_Lancy,Grand-Lancy,1384,base.ch
city_ch_Petit_Lancy,Petit-Lancy,1384,base.ch
city_ch_Onex,Onex,1384,base.ch
city_ch_Vernier,Vernier,1384,base.ch
city_ch_Cointrin,Cointrin,1384,base.ch
city_ch_Meyrin,Meyrin,1384,base.ch
city_ch_Le_Grand_Saconnex,Le Grand-Saconnex,1384,base.ch
city_ch_Le_Lignon,Le Lignon,1384,base.ch
city_ch_Aïre,Aïre,1384,base.ch
city_ch_Châtelaine,Châtelaine,1384,base.ch
city_ch_Les_Avanchets,Les Avanchets,1384,base.ch
city_ch_Vesenaz,Vésenaz,1384,base.ch
city_ch_Cologny,Cologny,1384,base.ch
city_ch_Chêne_Bougeries,Chêne-Bougeries,1384,base.ch
city_ch_Chêne_Bourg,Chêne-Bourg,1384,base.ch
city_ch_Thônex,Thônex,1384,base.ch
city_ch_Carouge_GE,Carouge GE,1384,base.ch
city_ch_Les_Acacias,Les Acacias,1384,base.ch
city_ch_Plan_les_Ouates,Plan-les-Ouates,1384,base.ch
city_ch_Conches,Conches,1384,base.ch
city_ch_Confignon,Confignon,1384,base.ch
city_ch_Bernex,Bernex,1384,base.ch
city_ch_Vessy,Vessy,1384,base.ch
city_ch_Cartigny,Cartigny,1384,base.ch
city_ch_Avully,Avully,1384,base.ch
city_ch_Collex,Collex,1384,base.ch
city_ch_Puplinge,Puplinge,1384,base.ch
city_ch_Satigny,Satigny,1384,base.ch
city_ch_Presinge,Presinge,1384,base.ch
city_ch_Choulex,Choulex,1384,base.ch
city_ch_Collonge_Bellerive,Collonge-Bellerive,1384,base.ch
city_ch_Corsier_GE,Corsier GE,1384,base.ch
city_ch_Anieres,Anières,1384,base.ch
city_ch_Hermance,Hermance,1384,base.ch
city_ch_Gy,Gy,1384,base.ch
city_ch_Meinier,Meinier,1384,base.ch
city_ch_Vandoeuvres,Vandoeuvres,1384,base.ch
city_ch_Jussy,Jussy,1384,base.ch
city_ch_Veyrier,Veyrier,1384,base.ch
city_ch_Troinex,Troinex,1384,base.ch
city_ch_La_Croix_de_Rozon,La Croix-de-Rozon,1384,base.ch
city_ch_Perly,Perly,1384,base.ch
city_ch_Nyon,Nyon,1386,base.ch
city_ch_Marchissy,Marchissy,1386,base.ch
city_ch_Le_Vaud,Le Vaud,1386,base.ch
city_ch_Longirod,Longirod,1386,base.ch
city_ch_Eysins,Eysins,1386,base.ch
city_ch_Crassier,Crassier,1386,base.ch
city_ch_St_Cergue,St-Cergue,1386,base.ch
city_ch_La_Cure,La Cure,1386,base.ch
city_ch_Duillier,Duillier,1386,base.ch
city_ch_Vich,Vich,1386,base.ch
city_ch_Coinsins,Coinsins,1386,base.ch
city_ch_Begnins,Begnins,1386,base.ch
city_ch_Burtigny,Burtigny,1386,base.ch
city_ch_Bassins,Bassins,1386,base.ch
city_ch_Trelex,Trélex,1386,base.ch
city_ch_Givrins,Givrins,1386,base.ch
city_ch_Genolier,Genolier,1386,base.ch
city_ch_Arzier_Le_Muids,Arzier-Le Muids,1386,base.ch
city_ch_Signy,Signy,1386,base.ch
city_ch_Grens,Grens,1386,base.ch
city_ch_Cheserex,Chéserex,1386,base.ch
city_ch_Gingins,Gingins,1386,base.ch
city_ch_Borex,Borex,1386,base.ch
city_ch_Arnex_sur_Nyon,Arnex-sur-Nyon,1386,base.ch
city_ch_La_Rippe,La Rippe,1386,base.ch
city_ch_Chavannes_de_Bogis,Chavannes-de-Bogis,1386,base.ch
city_ch_Bogis_Bossey,Bogis-Bossey,1386,base.ch
city_ch_Russin,Russin,1384,base.ch
city_ch_La_Plaine,La Plaine,1384,base.ch
city_ch_Dardagny,Dardagny,1384,base.ch
city_ch_Chancy,Chancy,1384,base.ch
city_ch_Athenaz_(Avusy),Athenaz (Avusy),1384,base.ch
city_ch_Soral,Soral,1384,base.ch
city_ch_Laconnex,Laconnex,1384,base.ch
city_ch_Aire_la_Ville,Aire-la-Ville,1384,base.ch
city_ch_Versoix,Versoix,1384,base.ch
city_ch_Chavannes_des_Bois,Chavannes-des-Bois,1386,base.ch
city_ch_Commugny,Commugny,1386,base.ch
city_ch_Chambesy,Chambésy,1384,base.ch
city_ch_Bellevue,Bellevue,1384,base.ch
city_ch_Genthod,Genthod,1384,base.ch
city_ch_Mies,Mies,1386,base.ch
city_ch_Tannay,Tannay,1386,base.ch
city_ch_Coppet,Coppet,1386,base.ch
city_ch_Founex,Founex,1386,base.ch
city_ch_Celigny,Céligny,1384,base.ch
